o_zone_id,d_zone_id,mode_id,cost_ours,cost_nx,diff,diff_pct
1,756,1,2.980787268605232,2.9807872686052317,4.440892098500626e-16,1.4898386561408677e-14
1,759,1,4.949857074617101,4.949857074617101,0.0,0.0
1,769,1,3.2463529372733104,3.2463529372733104,0.0,0.0
1,772,1,2.0089076378249118,2.0089076378249113,4.440892098500626e-16,2.2106004352240297e-14
1,773,1,2.911608672543669,2.911608672543669,0.0,0.0
1,774,1,3.1956653445667165,3.1956653445667165,0.0,0.0
2,1,1,2.802241425943909,2.8022414259439086,4.440892098500626e-16,1.5847642738365248e-14
2,24,1,5.722064077066198,5.722064077066198,0.0,0.0
2,25,1,5.018194241339395,5.018194241339395,0.0,0.0
2,34,1,6.253823228166736,6.253823228166736,0.0,0.0
2,38,1,5.476321898040722,5.476321898040722,0.0,0.0
2,40,1,3.5557386319857827,3.5557386319857827,0.0,0.0
