o_zone_id,d_zone_id,mode_id,cost_ours,cost_nx,diff,diff_pct
1,223,1,3.442088986734136,3442.8163392857136,-3439.3742502989794,-99.90002112667304
1,231,1,4.591787828007133,4592.758125,-4588.166337171993,-99.90002112667304
1,232,1,5.693859858366961,5695.063035714284,-5689.369175855917,-99.90002112667305
1,241,1,2.8678953798976745,2868.5013988095234,-2865.6335034296258,-99.90002112667304
1,256,1,3.403690761430151,3404.41,-3401.00630923857,-99.90002112667305
1,268,1,3.127206685659959,3127.8674999999994,-3124.7402933143394,-99.90002112667304
1,287,1,2.054269748723523,2054.703839285714,-2052.6495695369904,-99.90002112667304
1,306,1,2.9988776423320838,2999.511339285714,-2996.512461643382,-99.90002112667304
1,310,1,6.574229361992227,6575.618571428571,-6569.044342066579,-99.90002112667304
1,312,1,2.494055120643956,2494.582142857143,-2492.088087736499,-99.90002112667304
1,359,1,3.694851735804741,3736.9924999999994,-3733.297648264195,-99.90112766520659
1,360,1,3.5463031258155526,3547.0524999999993,-3543.506196874184,-99.90002112667304
1,361,1,3.306799449951977,3307.4982142857134,-3304.1914148357614,-99.90002112667304
1,365,1,3.420240478572405,3420.963214285713,-3417.5429738071407,-99.90002112667304
1,374,1,3.882773097312296,3883.5935714285715,-3879.7107983312594,-99.90002112667305
1,377,1,5.724307353036471,5725.5169642857145,-5719.792656932678,-99.90002112667305
1,381,1,3.439218968201694,3439.945714285714,-3436.5064953175124,-99.90002112667304
1,382,1,3.2118102365388475,3212.488928571429,-3209.27711833489,-99.90002112667304
1,383,1,4.260938454528386,4261.838839285713,-4257.577900831185,-99.90002112667304
1,393,1,4.3365666698549,4337.483035714285,-4333.14646904443,-99.90002112667305
1,394,1,4.394434441736541,4395.363035714285,-4390.968601272548,-99.90002112667304
1,395,1,4.367320171290271,4368.243035714285,-4363.875715542995,-99.90002112667305
1,398,1,3.816666530667408,3817.473035714284,-3813.6563691836163,-99.90002112667304
1,399,1,3.4449400806941264,3445.668035714284,-3442.2230956335898,-99.90002112667304
1,401,1,4.107236737020855,4108.104642857143,-4103.997406120122,-99.90002112667305
1,408,1,5.181723078693306,5182.818035714285,-5177.636312635591,-99.90002112667304
1,416,1,3.9706056087322392,3971.4446428571423,-3967.4740372484102,-99.90002112667305
1,419,1,4.552422664171115,4553.384642857142,-4548.832220192971,-99.90002112667304
1,420,1,4.521289243017102,4522.244642857143,-4517.723353614126,-99.90002112667304
1,421,1,4.227891241351823,4228.784642857142,-4224.55675161579,-99.90002112667304
1,431,1,2.3933389923930664,2393.8447321428566,-2391.4513931504634,-99.90002112667304
1,433,1,3.550201141406238,3550.9513392857143,-3547.401138144308,-99.90002112667304
1,438,1,3.6773111566143353,3678.088214285714,-3674.4109031290996,-99.90002112667304
1,449,1,4.854316192063648,4855.341964285714,-4850.487648093651,-99.90002112667305
1,453,1,3.820478850080956,3821.286160714286,-3817.4656818642047,-99.90002112667304
1,469,1,2.8557022719162606,2856.305714285714,-2853.4500120137977,-99.90002112667304
1,588,1,4.701909855589276,4702.903422619047,-4698.201512763458,-99.90002112667304
1,687,1,3.128762785409813,3129.423928571429,-3126.295165786019,-99.90002112667304
1,705,1,4.416940935858356,4417.874285714284,-4413.457344778426,-99.90002112667304
1,708,1,2.3934655727880463,2393.9713392857143,-2391.5778737129262,-99.90002112667304
1,710,1,4.87081752657256,4871.846785714284,-4866.975968187711,-99.90002112667304
1,727,1,2.4678331616421287,2468.3546428571426,-2465.8868096955007,-99.90002112667305
1,735,1,3.2839471360486723,3284.6410714285707,-3281.3571242925223,-99.90002112667305
1,750,1,2.7556809075681423,2756.263214285714,-2753.507533378146,-99.90002112667304
1,751,1,2.754361186440226,2754.943214285714,-2752.1888530992737,-99.90002112667304
1,756,1,2.980787268605232,2981.4171428571426,-2978.4363555885375,-99.90002112667304
1,759,1,4.949857074617101,4950.903035714285,-4945.953178639667,-99.90002112667304
1,769,1,3.2463529372733104,3247.0389285714286,-3243.792575634155,-99.90002112667304
1,772,1,2.0089076378249118,2009.3321428571426,-2007.3232352193177,-99.90002112667304
1,773,1,2.911608672543669,2912.223928571429,-2909.3123198988856,-99.90002112667305
